,refNum
1990,2934
1991,2937
1992,2941
1993,2943
1994,2946
1995,2948
1996,2949
1997,2950
1998,2952
1999,2953
2000,2954
2001,2956
2002,2957
2003,2958
2004,2959
2005,2963
2006,2964
2007,2965
2008,2967
2009,2969
2010,2971
2011,2972
2012,2973
2013,2976
2014,2977
2015,2978
2016,2979
2017,2980
2018,2981
2019,2982
2020,2983
2021,2984
2022,2985
2023,2988
2024,2991
2025,2993
2026,2994
2027,2995
2028,2996
2029,2997
2030,2998
2031,3001
2032,3002
2033,3003
2034,3004
2035,3005
2036,3006
2037,3007
2038,3008
2039,3009
2040,3010
2041,3011
2042,3013
2043,3014
2044,3017
2045,3018
2046,3019
2047,3020
2048,3021
2049,3023
2050,3024
2051,3026
2052,3027
2053,3028
2054,3029
2055,3030
2056,3031
2057,3032
2058,3033
2059,3034
2060,3035
2061,3036
2062,3037
2063,3038
2064,3040
2065,3041
2066,3043
2067,3044
2068,3045
2069,3047
2070,3048
2071,3049
2072,3050
2073,3053
2074,3054
2075,3056
2076,3057
2077,3058
2078,3059
2079,3060
2080,3061
2081,3062
2082,3063
2083,3064
2084,3065
2085,3066
2086,3067
2087,3068
2088,3072
2089,3073
2090,3074
2091,3075
2092,3076
2093,3078
2094,3081
2095,3082
2096,3084
2097,3085
2098,3086
2099,3089
2100,3090
2101,3091
2102,3092
2103,3093
2104,3094
2105,3095
2106,3096
2107,3097
2108,3098
2109,3100
2110,3102
2111,3103
2112,3105
2113,3106
2114,3107
2115,3108
2116,3109
2117,3110
2118,3111
2119,3112
2120,3113
2121,3115
2122,3116
2123,3117
2124,3118
2125,3119
2126,3120
2127,3121
2128,3122
2129,3123
2130,3124
2131,3126
2132,3129
2133,3130
2134,3131
2135,3132
2136,3133
2137,3134
2138,3135
2139,3136
2140,3137
2141,3138
2142,3140
2143,3141
2144,3142
2145,3143
2146,3144
2147,3145
2148,3146
