"","name","value"
"353","Yellow_Cards",0.0462383181508075
"354","Height",0.0273520834837087
"355","Weight",0.0273520834837087
"356","Club",0.290136961235984
"357","Age",0.290136961235984
"358","Mean_IAT",0.283270028332395
"359","Ref_Country",0.75352887833069
"360","Victories",0.340295236555047
"361","Skin_Tone",0.0186274960608625
"362","Position",0.0258797043517916
"363","Yellow_Cards",0.0374037794512349
"364","Height",0.0374037794512349
"365","Weight",0.0374037794512349
"366","Club",0.331276773999246
"367","Age",0.331276773999246
"368","Mean_IAT",0.327381855470267
"369","Ref_Country",0.760115887649665
"370","Victories",0.339173886914009
"371","Skin_Tone",0.0273520834837087
"372","Position",0.0273520834837087
"373","Yellow_Cards",0.0393746545173049
"374","Height",0.0393746545173049
"375","Weight",0.0393746545173049
"376","Club",0.33151714759092
"377","Age",0.33151714759092
"378","Mean_IAT",0.327481818817944
"379","Ref_Country",0.76015005682605
"380","Victories",0.339387997161162
"381","Skin_Tone",0.0393746545173049
"382","Position",0.0444749859173216
"383","Yellow_Cards",0.0444749859173216
"384","Height",0.0444749859173216
"385","Weight",0.0444749859173216
"386","Club",0.337460008180838
"387","Age",0.337460008180838
"388","Mean_IAT",0.335124903087963
"389","Ref_Country",0.762499315730576
"390","Victories",0.346243495928074
"391","Skin_Tone",0.0466173027040851
"392","Position",0.0466173027040851
"393","Yellow_Cards",0.0466173027040851
"394","Height",0.0466173027040851
"395","Weight",0.0466173027040851
"396","Club",0.33770983401381
"397","Age",0.33770983401381
"398","Mean_IAT",0.33530010380493
"399","Ref_Country",0.762526840147181
"400","Victories",0.34653872462835
"401","Skin_Tone",0.0183524113129782
"402","Position",0.0259463637130208
"403","Yellow_Cards",0.0370234703956278
"404","Height",0.0173028149613662
"405","Weight",0.0173028149613662
"406","Club",0.28647229054667
"407","Age",0.28647229054667
